2020广东放假	2020浙江放假	广东	浙江	LOC
敦煌莫高窟的历史	敦煌莫高窟的文物	历史	文物	n
如何自制奶瓶	如何清洗水瓶	自制	清洗	v
新车怎么爱护	新车怎么定位	爱护	定位	v
长乐哪里比较热闹	长乐哪里比较好玩	热闹	好玩	a
延吉到内蒙古	延吉到广东	内蒙古	广东	LOC
手机热点速度慢	手机速度缓慢	热点	速度	n
兴宁到河源火车时刻表	兴宁到厦门火车时刻表	河源	厦门	LOC
直播屋里特别暗怎么办	直播屋里太暗怎么办	特别	太	d
怎么弄湿女友	怎么玩女友	弄湿	玩	v
迪拜和中国的汇率	英国和中国的汇率	迪拜	英国	LOC
怎样恢复被删除的QQ好友	怎样找回被删除的QQ好友	恢复	找回	v
画图的顺序	写的顺序	画图	写	v
天津今年社保缴费基数	南京今年社保缴费基数	天津	南京	LOC
北京离郑州	北京去郑州	离	去	v
杭州距离马鞍山多少公里	杭州距离南昌多少公里	马鞍山	南昌	LOC
广东人吃燕子吗	广东人吃辣椒吗	燕子	辣椒	n
大乐透中奖号	大乐透中奖规则	号	规则	n
保安的意义	保安的作用	意义	作用	n
支原体感染传染吗	支原体感染传染嘛	吗	嘛	xc
邵阳到广西	邵阳到武汉	广西	武汉	LOC
傣族种植什么	傣族是什么	种植	是	v
寂静岭电影恐怖吗	寂静岭电影好看吗	恐怖	好看	a
康佳电视石家庄售后服务电话	康佳电视成都售后服务电话	石家庄	成都	LOC
去香港买什么药划算	去香港买什么药最好	划算	最好	a
十分广阔的近义词	十分重要的近义词	广阔	重要	a
担子的拼音	拼音的拼音	担子	拼音	n
大便多久一次正常	大便多久一次最好	正常	最好	a
一本书重多少克	一本书厚多少克	重	厚	a
怎样改善油性皮肤	怎样保养油性皮肤	改善	保养	v
武汉做核酸检测要预约吗	南京做核酸检测要预约吗	武汉	南京	LOC
西宁工务段段长	福州工务段段长	西宁	福州	LOC
刺猬怎么写	刺猬怎么叫	写	叫	v
梦见甜瓜什么意思	梦到鱼什么意思	甜瓜	鱼	n
深圳至西双版纳高铁	成都至西双版纳高铁	深圳	成都	LOC
最早的品牌	早的翻译	品牌	翻译	n
喉咙疼吃金嗓子有用吗	喉咙不舒服吃金嗓子有用吗	疼	不舒服	a
形容年华的成语	形容时日的成语	年华	时日	n
膝盖酸软怎么回事	膝盖疼痛怎么回事	酸软	疼痛	a
如何对付两面派的婆婆	如何对付假惺惺的婆婆	两面派	假惺惺	n
牙龈变黑图片	牙龈变长图片	黑	长	a
中性二字网名	中性2字网名	二	2	m
早上总是想吐怎么回事	早上偶尔想吐怎么回事	总是	偶尔	d
正常电压多少	正常人多少	电压	人	n
扩音器怎么说话	扩音器怎么开	说话	开	v
logo是什么牌子	标志是什么牌子	logo	标志	n
什么是职业康复	什么是精神康复	职业	精神	n
21×24的竖式计算	30×24的竖式计算	21	30	m
我的宝宝叫什么名字	我的小孩叫什么名字	宝宝	小孩	n
天花是水痘吗	天花是水痘么	吗	么	xc
家庭教育的功能	家庭教育的作用	功能	作用	n
fast英文怎么念	fast英文怎么读	念	读	v
安徽属于哪个地区	河南属于哪个地区	安徽	河南	LOC
手机怎么出灰	手机怎么去灰	出	去	v
合肥堵车严重吗	昆明堵车严重吗	合肥	昆明	LOC
脖子痛是怎么回事	脖子僵是怎么回事	痛	僵	a
两个质数的和是16	两个质数的和是4	16	4	m
怀孕能吃鸡油菌吗	怀孕能吃鹿肉吗	鸡油菌	鹿肉	nz
郑州火车站到北京西站火车票	哈尔滨到北京西站火车票	郑州火车站	哈尔滨	LOC
52和19的最大公因数	19和19的最大公因数	52	19	m
肠胃炎会发烧吗	肠胃炎会发烧嘛	吗	嘛	xc
九和四的最小公倍数是几	九和13的最小公倍数是几	四	13	m
云南的说说	宁夏的说说	云南	宁夏	LOC
世界上什么最苦?	世界上什么最难?	苦	难	a
西红柿与韭菜能一起吃吗	西红柿与辣椒能一起吃吗	韭菜	辣椒	n
梦见和好朋友吵架	梦见和好朋友聊天	吵架	聊天	v
从甘肃回乌鲁木齐需要隔离吗	从青岛回乌鲁木齐需要隔离吗	甘肃	青岛	LOC
月经期可以吃逍遥丸吗	月经期可以吃逍遥丸么	吗	么	xc
8分之7×4等于多少	5×4等于多少	8分之7	5	m
小孩发烧为什么会抽搐	小孩感冒为什么会抽搐	发烧	感冒	v
月经期间小腹突出	月经期间小腹大	突出	大	a
怀孕能吃胡瓜吗	怀孕能吃鸭血吗	胡瓜	鸭血	n
小企鹅怎么走路	小鹅怎么说	走路	说	v
传感器的性能要求	传感器的技术要求	性能	技术	n
如何让二极管亮	如何让眼睛亮	二极管	眼睛	n
133开头的号码是哪里的	7开头的号码是哪里的	133	7	m
姓赖的名字	姓强的名字	赖	强	PER
电势怎么读	势力怎么写	读	写	v
指南针怎么矫正	指南针怎么读	矫正	读	v
什么时候不能砍树	什么时候不能打	砍树	打	v
福建距离山东	四川距离山东	福建	四川	LOC
358的立方根等于多少	358的立方根是多少	等于	是	v
如何渗透路由器	如何用模拟器	渗透	用	v
最常见的运动	最激烈的运动	常见	激烈	a
福建离安徽有多少公里	福建离广西有多少公里	安徽	广西	LOC
怎样烧麻辣小龙虾窍门	怎样煮麻辣小龙虾窍门	烧	煮	v
这属于什么垃圾	这属于什么地方	垃圾	地方	n
郑州到广元的高铁	郑州到重庆的高铁	广元	重庆	LOC
什么原因容易引起宫颈癌	什么原因容易导致宫颈癌	引起	导致	v
重庆到济宁火车票	重庆到济宁高铁	火车票	高铁	n
木星是气态行星吗	地球是气态行星吗	木星	地球	n
怀孕前肚子会不会痛	怀孕前肚子会不会疼	痛	疼	a
梦到老公要远行	梦到老公要结婚	远行	结婚	v
多系统萎缩吃什么药有效	多系统萎缩吃什么药好	有效	好	a
夏季用什么风扇好	夏季用什么化妆品好	风扇	化妆品	n
proteus中喇叭怎么找	proteus中扬声器怎么找	喇叭	扬声器	n
如何驾驭情绪	如何解决情绪	驾驭	解决	v
