2020广东放假,2020浙江放假,广东,浙江,0.5696317
孙玉厚扮演者,孙玉亭扮演者,孙玉厚,孙玉亭,1.0
鸟哥在哪直播,飞哥在哪直播,鸟哥,飞哥,1.0
延吉到内蒙古,延吉到广东,内蒙古,广东,0.45389813
1977年的一分硬币值多少钱？,1976的一分硬币值多少钱？,1977年,1976,-0.0050519626
天津体育学院教师待遇,天津医科大学教师待遇,天津体育学院,天津医科大学,0.6265389
兴宁到河源火车时刻表,兴宁到厦门火车时刻表,河源,厦门,0.24253839
华南理工校长,南理工校长,华南理工,南理工,0.8289679
迪拜和中国的汇率,英国和中国的汇率,迪拜,英国,0.37638155
关闭九点五十的闹钟,关闭五点五十的闹钟,九点五十,五点五十,1.0
1992年属狗的是什么命,1993年属狗的是什么命,1992年,1993年,1.0
贵阳到铜仁梵净山,贵阳机场到铜仁梵净山,贵阳,贵阳机场,0.3937971
天津今年社保缴费基数,南京今年社保缴费基数,天津,南京,0.5367533
杭州距离马鞍山多少公里,杭州距离南昌多少公里,马鞍山,南昌,0.38470978
邵阳到广西,邵阳到武汉,广西,武汉,0.3582998
同仁堂有卖朱砂的吗,同仁堂药店有卖朱砂的吗,同仁堂,同仁堂药店,0.54780203
sumn什么意思,bomn什么意思,sumn,bomn,1.0
燕窝小孩能吃吗,燕窝糕小孩能吃吗,燕窝,燕窝糕,0.07886748
今天是农历多少号,前天是农历多少号,今天,前天,0.37591988
OPPOa9x多大屏,a9x大小,OPPOa9x,a9x,1.0
康佳电视石家庄售后服务电话,康佳电视成都售后服务电话,石家庄,成都,0.4439922
重庆市最新规划,济南市最新规划,重庆市,济南市,0.53706586
急性T细胞白血病,急性T型白血病,急性T细胞白血病,急性T型白血病,1.0
语文的英语,语文老师的英语,语文的英语,语文老师的英语,1.0
晚上还好吗,今天晚上好吗,晚上,今天晚上,0.04742192
武汉做核酸检测要预约吗,南京做核酸检测要预约吗,武汉,南京,0.5828936
西宁工务段段长,福州工务段段长,西宁,福州,0.39364132
深圳至西双版纳高铁,成都至西双版纳高铁,深圳,成都,0.42489833
晨曦名字的含义是什么,晨旭名字的含义是什么,晨曦,晨旭,0.4294561
11月13号出生的人是什么星座,1月13号出生的人是什么星座,11月13号,1月13号,1.0
石家庄奥迪4s店电话多少,长沙奥迪4s店电话多少,石家庄奥迪,长沙奥迪,1.0
萧县多少个乡镇,嵩县多少个乡镇,萧县,嵩县,0.42694852
华中科技大学非全日制上课时间,湖南科技大学非全日制上课时间,华中科技大学,湖南科技大学,0.68614054
云南大学宿舍条件,云南师范大学宿舍条件,云南大学,云南师范大学,0.7103598
原油下跌对中石化的影响,原油下跌对中国石化的影响,中石化,中国石化,0.7018926
4月17星座,4月16星座,4月17,4月16,1.0
达州火车时刻表,锦州火车时刻表,达州,锦州,0.2673724
太平保险客服热线,华安保险客服热线,太平保险,华安保险,1.0
工商银行公积金贷款提前还款,徽商银行公积金贷款提前还款,工商银行,徽商银行,0.6555547
大海啊故乡歌词简谱,大海啊故乡歌词歌谱,大海啊故乡歌词简谱,大海啊故乡歌词歌谱,1.0
无锡海鲜批发市场在哪里,无锡市海鲜批发市场在哪里,无锡,无锡市,0.61511856
阳历3月11日是什么星座?,阳历3月9日是什么星座?,3月11日,3月9日,1.0
华南师范大学2019年美术类录取分数线,华中师范大学2019年美术类录取分数线,华南师范大学,华中师范大学,0.68283355
安徽属于哪个地区,河南属于哪个地区,安徽,河南,0.5888322
合肥堵车严重吗,昆明堵车严重吗,合肥,昆明,0.37407583
怀孕能吃鸡油菌吗,怀孕能吃鹿肉吗,鸡油菌,鹿肉,-0.10684037
10月4日是什么星座,四月四日是什么星座,10月4日,四月四日,1.0
郑州火车站到北京西站火车票,哈尔滨到北京西站火车票,郑州火车站,哈尔滨,0.40946424
云南的说说,宁夏的说说,云南,宁夏,0.53232384
云南师范大学研究生补助,云南财经大学研究生补助,云南师范大学,云南财经大学,0.14391926
西南政法大学绩点,西南石油大学绩点,西南政法大学,西南石油大学,0.02177368
从甘肃回乌鲁木齐需要隔离吗,从青岛回乌鲁木齐需要隔离吗,甘肃,青岛,0.26370937
清华第一校长,清华大学第一校长,清华,清华大学,0.69244045
谢谢你的帮助用英语怎么说,谢谢你的帮助英语怎么说,谢谢你的帮助用英语,谢谢你的帮助英语,1.0
长春动物园门票多少钱,北京动物园门票多少钱,长春动物园,北京动物园,0.046664115
姓赖的名字,姓强的名字,赖,强,0.106372476
福建距离山东,四川距离山东,福建,四川,0.5329902
10月4日是什么星座,5月4日是什么星座,10月4日,5月4日,1.0
北京卫视节目表今天播,山西卫视节目表今天播,北京卫视,山西卫视,1.0
福建离安徽有多少公里,福建离广西有多少公里,安徽,广西,0.43909788
郑州到广元的高铁,郑州到重庆的高铁,广元,重庆,0.50135833
贵阳八中在哪,株洲八中在哪,贵阳八中,株洲八中,1.0
瓦房店有三甲医院吗,瓦房店市有三甲医院吗,瓦房店,瓦房店市,0.6435609
中建一局一级建造师补贴,中建七局一级建造师补贴,中建一局,中建七局,0.06865601
岳振华最高什么职务,岳振边最高什么职务,岳振华,岳振边,0.02999957
儿童四大美女,小四大美女,儿童四大美女,小四大美女,1.0
周公解梦梦见蛇,周工解梦梦见蛇,周公,周工,0.039852805
湖北有什么烟,辽宁有什么烟,湖北,辽宁,0.48516405
湖南大学教育学研究生分数线,湖北大学教育学研究生分数线,湖南大学,湖北大学,0.61742854
雷克萨斯es 价格,雷克萨斯is 价格,雷克萨斯es,雷克萨斯is,1.0
湘潭到昭山坐几路公交车,湘潭市到昭山坐几路公交车,湘潭,湘潭市,0.6092465
中国最穷的县,日本最穷的县,中国,日本,0.4972491
长江多少公里,松花江多少公里,长江,松花江,0.46526626
上海至菏泽大巴,上海至香港大巴,菏泽,香港,0.23110993
闹钟调到十二点五十,闹钟调到十二点半,十二点五十,十二点半,1.0
李连杰的国籍是什么？,李卜杰的国籍是什么？,李连杰,李卜杰,0.028807739
楚天科技的股价,百度的股价,楚天科技,百度,0.09319814
合肥到恩施飞机,天津到恩施飞机,合肥,天津,0.3799403
郑煤集团是不是国企,同煤集团是不是国企,郑煤集团,同煤集团,0.034591045
王一博是谁,王彬彬是谁,王一博,王彬彬,0.012218146
89年农历4月初6到底是什么星座？,89年农历4八月初6到底是什么星座？,月初,八月初,0.014977882
安徽理工大学土木工程专业全国排名,河南理工大学土木工程专业全国排名,安徽理工大学,河南理工大学,0.0501741
深圳到成都开车多久,重庆到成都开车多久,深圳,重庆,0.43920073
朝鲜电压和中国一样吗,哈萨克斯坦电压和中国一样吗,朝鲜,哈萨克斯坦,0.38816082
安徽省立医院是医保定点医院吗,济南省立医院是医保定点医院吗,安徽省立医院,济南省立医院,0.044277847
杨宇轩名字怎么样,张宇轩名字怎么样,杨宇轩,张宇轩,1.0
口袋妖怪究极绿宝石3蛋怎么孵化,口袋妖怪究极绿宝石2蛋怎么孵化,绿宝石3蛋,绿宝石2蛋,1.0
曲沃邮政编码,曲沃县邮政编码,曲沃邮政,曲沃县邮政,1.0
山东好玩的地方,内蒙古好玩的地方,山东,内蒙古,0.48330146
宜春哪个男科医院最好,深圳哪个男科医院最好,宜春,深圳,0.1978737
昌吉学院多大,九江学院多大,昌吉学院,九江学院,1.0
深圳至衡水火车票,深圳至广州火车票,衡水,广州,0.26497707
福建在建高速公路项目,浙江在建高速公路项目,福建,浙江,0.6651222
刘慈欣是个什么样的人,刘雨欣是个什么样的人,刘慈欣,刘雨欣,0.10275348
酱粉条怎么做好吃,酱鱼怎么做好吃,酱粉条,酱鱼,1.0
欧洲人口密度是多少,日本人口密度是多少,欧洲,日本,0.5409221
金俊是哪部电视剧,文俊是哪部电视剧,金俊,文俊,0.34305298
东北师范大学学号,华东师范大学学号,东北师范大学,华东师范大学,0.6710838
慈溪日报登报电话,汕尾日报登报电话,慈溪日报,汕尾日报,1.0
海南大学和广西大学哪个好,济南大学和广西大学哪个好,海南大学,济南大学,0.060021915
新疆医科大学代码,河北医科大学代码,新疆医科大学,河北医科大学,0.8381775
四海用英语怎么说,八方用英语怎么说,四海用英语,八方用英语,1.0
如果a÷b=5那么a和b的最大公因数是多少最小公倍数是多少,如果a÷b=12那么a和b的最大公因数是多少最小公倍数是多少,b=5,b=12,1.0
想去法国的原因英语,想去澳大利亚的原因英语,法国,澳大利亚,0.59879106
生长在黄泉路的花,生长在广东的花,黄泉路,广东,0.0481061
江西财经大学编号,广东财经大学编号,江西财经大学,广东财经大学,0.00317117
扬子江药业核心产品,以岭药业核心产品,扬子江药业,以岭药业,1.0
最强nba钻石艾弗森怎么加点,最强nba钻石艾佛森怎么加点,艾弗森,艾佛森,-0.08846682
包皮龟头炎,包皮鬼头炎,包皮龟头炎,包皮鬼头炎,1.0
西安科技大学有三本吗,西安理工大学有三本吗,西安科技大学,西安理工大学,0.047446154
烟台到徐州距离,西安到徐州距离,烟台,西安,0.43614736
广西生猪肉价格今日价格,山西生猪肉价格今日价格,广西,山西,0.4379321
现任泊头市市长是谁,现任深圳市长是谁,泊头市,深圳,0.32247663
2020黑龙江网吧开业时间,2020四川网吧开业时间,黑龙江,四川,0.47651726
大连职业技术学院好不好,运城职业技术学院好不好,大连职业技术学院,运城职业技术学院,1.0
2016年11月美元汇率,2017年11月美元汇率,2016年,2017年,1.0
山东到成都邮费,山东到杭州邮费,成都,杭州,0.54370433
江苏离青海有多远,江苏离山东有多远,青海,山东,0.4240368
腌虾的做法,腌面的做法,腌虾,腌面,1.0
2月18是什么座,2月10是什么座,2月18,2月10,1.0
7+2中6+1多少钱,9+2中6+1多少钱,7+2中6+1,9+2中6+1,1.0
黑龙江第一个省会,河南第一个省会,黑龙江,河南,0.4538782
天津体育学院2020考研分数线,上海体育学院2020考研分数线,天津体育学院,上海体育学院,0.042624004
广汽传祺gm6油耗,广汽传祺gs6油耗,广汽传祺gm6,广汽传祺gs6,1.0
南京林业大学开设专业,南京理工大学开设专业,南京林业大学,南京理工大学,0.6229196
西安到尼泊尔机票多少钱,西安到香港机票多少钱,尼泊尔,香港,0.27298254
太原理工大学湖北分数线,武汉理工大学湖北分数线,太原理工大学,武汉理工大学,0.037750598
怀化有哪些职业高中,中国有哪些职业高中,怀化,中国,0.2245108
西安著名小学,西城著名小学,西安,西城,0.33102483
世卫组织的作用,世界贸易组织的作用,世卫组织,世界贸易组织,0.5391098
安妮英文怎么说,anne英文怎么说,安妮英文,anne英文,1.0
上海哪里批发衣服,郑州哪里批发衣服,上海,郑州,0.43019927
哈尔滨市是什么省,葫芦岛市是什么省,哈尔滨市,葫芦岛市,0.5752474
昭通到广西多少公里,昭通到西藏多少公里,广西,西藏,0.39562762
沈阳到广西多少公里,沈阳到香港多少公里,广西,香港,0.3462263
2020年幼儿园啥时候开学宁夏,2020年幼儿园啥时候开学甘肃,宁夏,甘肃,0.7569601
徐州工业学院怎么样,常州工学院怎么样,徐州工业学院,常州工学院,1.0
12月27生日的明星,12月9生日的明星,12月27,12月9,1.0
月经期间怎么减肥,月经其间怎么减肥,期间,其间,0.40160605
中国海洋大学调剂名额,中国人民大学调剂名额,中国海洋大学,中国人民大学,0.50950366
山东都有什么州,江苏都有什么州,山东,江苏,0.59003085
国家邮政局上班时间,国家基金委上班时间,国家邮政局,国家基金委,0.43278822
3月13日是什么星座,三月一日是什么星座,3月13日,三月一日,1.0
1991年冬月初三是什么星座？,89年冬月初三是什么星座？,1991年,89年,1.0
王俊凯住哪儿,王凯住哪儿,王俊凯,王凯,0.053092945
沈阳理工大学男女比例,大连理工大学男女比例,沈阳理工大学,大连理工大学,-0.018384451
北京大学录取分数线,河北北京大学录取分数线,北京大学,河北北京大学,0.04330439
山东理工大学甘肃录取分数线,南京理工大学甘肃录取分数线,山东理工大学,南京理工大学,0.5433871
济南初中开学时间2020,银川初中开学时间2020,济南,银川,0.47151592
1998年阴历9月21阳历是多少,1998年阴历9月22阳历是多少,9月21,9月22,1.0
周防雪子日文名,周防尊日文名,周防雪子,周防尊,1.0
赵薇怎么样,马嘉祺怎么样,赵薇,马嘉祺,0.02606528
南京医科大学读研怎么样,宁夏医科大学读研怎么样,南京医科大学,宁夏医科大学,0.048204884
延庆一中2018高考成绩,长垣一中2018高考成绩,延庆一中,长垣一中,1.0
柯桥到龙游汽车时刻表,上海到龙游汽车时刻表,柯桥,上海,0.3156222
2月26号是农历多少,二月二是农历多少,2月26号,二月二,1.0
西安电信光纤套餐价格表,重庆电信光纤套餐价格表,西安电信,重庆电信,-0.0031660143
荣耀手环4和小米手环4哪个好,荣耀手环5和小米手环5哪个好,荣耀手环4,荣耀手环5,1.0
4什么4什么4什么4等于3,4什么4什么4什么4等于1,4什么4什么4什么4等于3,4什么4什么4什么4等于1,1.0
成都买自行车的地方,昆明买自行车的地方,成都,昆明,0.58528113
南宁到揭阳汽车,南宁到上海汽车,揭阳,上海,0.27313364
成都最贵酒吧,南宁最贵酒吧,成都,南宁,0.5061278
龙虎山到长沙多少公里,北京到长沙多少公里,龙虎山,北京,0.17874585
辛集市周边集市时间表,辛集周边集市时间表,辛集市,辛集,0.716462
北师大一年学费多少,河北师范大学一年学费多少,北师大,河北师范大学,0.5525042
河南离拉萨有多远,西藏离拉萨有多远,河南,西藏,0.29175824
李丽珍的电影,李慧珍的电影,李丽珍,李慧珍,0.62162524
池州有多少人,纽约有多少人,池州,纽约,0.15226041
联通转套餐,上海联通转套餐,联通,上海联通,0.02506748
祁阳有哪些中学,重庆有哪些中学,祁阳,重庆,0.34873655
横县到桂林多少公里,横县到郑州多少公里,桂林,郑州,0.334502
上海理工大学就业怎么样,上海海洋大学就业怎么样,上海理工大学,上海海洋大学,0.06692703
黄明昊今年多少岁,陆明昊今年多少岁,黄明昊,陆明昊,1.0
浙江工业大学和沈阳工业大学哪个好,北方工业大学和沈阳工业大学哪个好,浙江工业大学,北方工业大学,0.66513216
最近发生了什么事,今天发生了什么事,最近,今天,0.3698076
内蒙古小吃,四川小吃,内蒙古,四川,0.44809642
工商银行上市价格,招商银行上市价格,工商银行,招商银行,0.70261556
淮安到沧州汽车时刻表,淮安到济南汽车时刻表,沧州,济南,0.50974464
辛姥姥是个怎么样的人,文姥姥是个怎么样的人,辛姥姥,文姥姥,1.0
oppoa92多少钱,oppor9m多少钱,oppoa92,oppor9m,1.0
昌都到重庆多少公里,哈尔滨到重庆多少公里,昌都,哈尔滨,0.2854357
打电话给万总,打电话给陆总,万总,陆总,1.0
深圳家具市场有哪些,抚顺家具市场有哪些,深圳,抚顺,0.28257382
6月初2是什么星座,2月初2是什么星座,6月初2是什么星座,2月初2是什么星座,1.0
合肥夜总会有哪些,长沙夜总会有哪些,合肥,长沙,0.47382998
成都到安康多远,成都到南昌多远,安康,南昌,0.27170467
张戈的作品,张龙的作品,张戈,张龙,0.43252966
11月27是什么座,11月2是什么座,11月27,11月2,1.0
成都东站到双流地铁路线,成都东站到双流机场地铁路线,双流,双流机,0.03976444
11月1日是什么星座,1月1日是什么星座,11月1日,1月1日,1.0
上海夏天气温,扬州夏天气温,上海,扬州,0.47145218
林小庄为什么黑化,小庄为什么黑化,林小庄,小庄,-0.041533373
西宁市保姆市场价格,温州保姆市场价格,西宁市,温州,0.28615576
扎沙是什么意思,扎西德勒是什么意思,扎沙,扎西德勒,0.041301757
北京师范大学2020年考研分数线,北京理工大学2020年考研分数线,北京师范大学,北京理工大学,0.54461783
驻马店市居住证怎么办理,胶州市居住证怎么办理,驻马店市,胶州市,0.5246471
